Item_Fat_Content,Item_ID,Item_Type,Item_Category,Item_Visibility,Visibility_Band,Item_Weight,Sales_Per_Weight,High_Rated_Item,Rating
Regular,FDX32,Fruits and Vegetables,Perishables,0.1000135,High,15.1,9.634344371,1,5
Low Fat,NCB42,Health and Hygiene,Household,0.008596051,Low,11.8,9.775355932,1,5
Regular,FDR28,Frozen Foods,Perishables,0.025896485,Low,13.85,11.91487365,1,5
Regular,FDL50,Canned,Packaged Foods,0.042277867,Medium,12.15,10.41190123,1,5
Low Fat,DRI25,Soft Drinks,Drinks,0.033970195,Low,19.6,2.814357143,1,5
low fat,FDS52,Frozen Foods,Perishables,0.005505481,Low,8.89,11.51874016,1,5
Low Fat,NCU05,Health and Hygiene,Household,0.098312421,High,11.8,6.903542373,1,5
Low Fat,NCD30,Household,Household,0.026903714,Low,19.7,4.876781726,1,5
Low Fat,FDW20,Fruits and Vegetables,Perishables,0.024129332,Low,20.75,5.984240964,1,5
Low Fat,FDX25,Canned,Packaged Foods,0.101561568,High,,0,1,5
Low Fat,FDX21,Snack Foods,Packaged Foods,0.084554569,High,,0,1,5
Low Fat,NCU41,Health and Hygiene,Household,0.052044976,Medium,18.85,10.1954695,1,5
Low Fat,FDL20,Fruits and Vegetables,Perishables,0.128937661,High,17.1,6.572432749,1,5
Low Fat,NCR54,Household,Household,0.090486828,High,16.35,11.9395107,1,5
Low Fat,FDH19,Meat,Perishables,0.03292824,Low,,0,1,5
Regular,FDB57,Fruits and Vegetables,Perishables,0.018801549,Low,20.25,10.97171358,1,5
Low Fat,FDO23,Breads,Perishables,0.147023834,High,17.85,5.251742297,1,5
Low Fat,NCB07,Household,Household,0.077628053,High,19.2,10.29223958,1,5
Low Fat,FDJ56,Fruits and Vegetables,Perishables,0.182514881,High,,0,1,5
Low Fat,DRN47,Hard Drinks,Drinks,0.016895293,Low,12.1,14.75752066,1,5
Regular,FDZ07,Fruits and Vegetables,Perishables,0,Low,,0,1,5
Low Fat,NCK31,Others,Packaged Foods,0.026916794,Low,,0,1,5
Low Fat,FDJ41,Frozen Foods,Perishables,0.022976497,Low,6.85,38.19845255,1,5
Low Fat,DRI51,Dairy,Perishables,0.042413704,Medium,17.25,10.03921159,1,5
